"TreeID","qLegalStatus","qSpecies","qAddress","SiteOrder","qSiteInfo","PlantType","qCaretaker","qCareAssistant","PlantDate","DBH","PlotSize","PermitNotes","XCoord","YCoord","Latitude","Longitude","Location"
"235418","DPW Maintained","Tree(s) ::","3466 21st St","2","Sidewalk: Curb side : Cutout","Tree","Private",,"2020 Jan 02 12:00:00 AM","3","Width 3ft","Permit Number 784779","6005281.81133","2103732.05889","37.75674627772","-122.42472718601","(37.75674627772118, -122.42472718600857)"
"261322","Private","::","811 Duboce Ave","1","Sidewalk: Curb side : Cutout","Tree","Private",,"2020 Jan 02 12:00:00 AM","3","3x3",,,,,,
"261373","Undocumented","Arbutus 'Marina' :: Hybrid Strawberry Tree","1701x 42nd Ave","1","Sidewalk: Curb side : Cutout","Tree","Private","DPW","2020 Jan 07 12:00:00 AM","3","3x3",,"5983095","2103514","37.75486948546","-122.50143993901","(37.75486948545775, -122.50143993901403)"
"261378","Planning Code 138.1 required","Lophostemon confertus :: Brisbane Box","1762 20th Ave","1","Sidewalk: Curb side : Cutout","Tree","Private",,"2020 Jan 08 12:00:00 AM","3","3x3","Permit Number 784740","5990006.33488","2103376.99766","37.75489679134","-122.47752886013","(37.7548967913393, -122.4775288601256)"
"224651","DPW Maintained","Ginkgo biloba :: Maidenhair Tree","157 Prospect Ave","1","Sidewalk: Curb side : Cutout","Tree","Private",,"2020 Jan 08 12:00:00 AM","3","5x9","Permit Number 781922","6006794.80583","2098578.82638","37.74268200958","-122.41912916618","(37.74268200957952, -122.41912916617585)"
"261376","Planning Code 138.1 required","Olea Majestic Beauty ::","3015 25th Ave","1","Sidewalk: Property side : Yard","Tree","Private",,"2020 Jan 08 12:00:00 AM","3","4x10","Permit Number 784883","5988814.87181","2095155.07295","37.73225233376","-122.4810472459","(37.73225233375567, -122.48104724589881)"
"261377","Planning Code 138.1 required","Olea Majestic Beauty ::","3015 25th Ave","2","Sidewalk: Property side : Yard","Tree","Private",,"2020 Jan 08 12:00:00 AM","3","4x10","Permit Number 784883","5988814.87181","2095155.07295","37.73225233376","-122.4810472459","(37.73225233375567, -122.48104724589881)"
"203946","DPW Maintained","Agonis flexuosa :: Peppermint Willow","2467 16th Ave","1","Sidewalk: Curb side : Cutout","Tree","Private",,"2020 Jan 08 10:17:00 AM","3","Width 3ft",,"5991366.65316","2098632.35377","37.74194807284","-122.47247866046","(37.74194807283729, -122.4724786604558)"
"138378","DPW Maintained","Pyrus kawakamii :: Evergreen Pear","1805 FILLMORE ST","4","Sidewalk: Curb side : Cutout","Tree","Private","DPW","2020 Jan 08 10:23:00 AM","3","Width 0ft",,"6002996.8797","2114513.7365","37.78622079633","-122.43339974011","(37.78622079633372, -122.43339974011273)"
"197677","DPW Maintained","Laurus nobilis :: Sweet Bay: Grecian Laurel","410 China Basin St","1","Sidewalk: Curb side : Cutout","Tree","Private",,"2020 Jan 09 12:00:00 AM","3","Width 5ft","Permit Number 784444","6015989.40646","2109125.42769","37.77215424276","-122.38807243012","(37.77215424276336, -122.38807243012063)"
"261351","Planning Code 138.1 required","Lagunaria patersonii :: Primrose Tree","299 Sagamore St","2","Sidewalk: Curb side : Cutout","Tree","Private",,"2020 Jan 13 12:00:00 AM","3","3x3","Permit Number 784323","5994169","2087374","37.71119717259","-122.46197290097","(37.71119717259273, -122.4619729009735)"
"261350","Planning Code 138.1 required","Lagunaria patersonii :: Primrose Tree","299 Sagamore St","1","Sidewalk: Curb side : Cutout","Tree","Private",,"2020 Jan 13 12:00:00 AM","3","3x3","Permit Number 784323","5994169","2087374","37.71119717259","-122.46197290097","(37.71119717259273, -122.4619729009735)"
"25338","Planning Code 138.1 required","Lagunaria patersonii :: Primrose Tree","3300X Alemany Blvd","1","Sidewalk: Curb side : Cutout","Tree","DPW",,"2020 Jan 13 12:00:00 AM","3","3X3","Permit Number 780859","5994476","2087151","37.71060253696","-122.46089568878","(37.71060253695793, -122.46089568878483)"
"261347","Planning Code 138.1 required","Lagunaria patersonii :: Primrose Tree","3300x Alemany Blvd","2","Sidewalk: Curb side : Cutout","Tree","DPW",,"2020 Jan 13 12:00:00 AM","3","3X3","Permit Number 780859","5994476","2087151","37.71060253696","-122.46089568878","(37.71060253695793, -122.46089568878483)"
"261348","Planning Code 138.1 required","Lagunaria patersonii :: Primrose Tree","3300x Alemany Blvd","3","Sidewalk: Curb side : Cutout","Tree","DPW",,"2020 Jan 13 12:00:00 AM","3","3X3","Permit Number 784323","5994476","2087151","37.71060253696","-122.46089568878","(37.71060253695793, -122.46089568878483)"
"261352","Planning Code 138.1 required","Lagunaria patersonii :: Primrose Tree","297 Sagamore St","1","Sidewalk: Curb side : Cutout","Tree","Private",,"2020 Jan 13 12:00:00 AM","3","3x3","Permit Number 780859","5994172","2087374","37.71119734531","-122.46196253231","(37.71119734530906, -122.46196253230667)"
"261349","Planning Code 138.1 required","Lagunaria patersonii :: Primrose Tree","3300x Alemany Blvd","4","Sidewalk: Curb side : Cutout","Tree","DPW",,"2020 Jan 13 12:00:00 AM","3","3X3","Permit Number 784323","5994476","2087151","37.71060253696","-122.46089568878","(37.71060253695793, -122.46089568878483)"
